id,description,hand
01,opaque,r
02,red,r
03,green,r
04,yellow,r
05,bright,r
06,light_blue,r
07,colors,r
08,pink,r
09,women,r
10,enemy,r
11,son,r
12,man,r
13,away,r
14,drawer,r
15,born,r
16,learn,r
17,call,r
18,skimmer,r
19,bitter,r
10,sweet_milk,r
21,milk,r
22,water,r
23,food,r
24,argentina,r
25,uruguay,r
26,country,r
27,last_name,r
28,where,r
29,mock,b
20,birthday,r
31,breakfast,b
32,photo,b
33,hungry,r
34,map,b
35,coin,b
36,music,b
37,ship,r
38,none,r
39,name,r
30,patience,r
41,perfume,r
42,deaf,r
43,trap,b
44,rice,b
45,barbecue,b
46,candy,r
47,chewing_gum,r
48,spaghetti,b
49,yogurt,b
40,accept,b
51,thanks,b
52,shut_down,r
53,appear,b
54,to_land,b
55,catch,b
56,help,b
57,dance,b
58,bathe,b
59,buy,r
50,copy,b
61,run,b
62,realize,r
63,give,b
64,find,r
